"","Node","Est","Conf95low","Conf95high","Pvalue","Mark"
"23","VAE24",0.664168845801009,0.625094740078543,0.705244751179591,2.64786122021975e-44,"Br_myo_H3K9ac"
"33","VAE35",1.47463628238456,1.26873452746809,1.70911963118921,4.44991163925047e-07,"Br_myo_H3K9ac"
"43","VAE43",0.94211760248865,0.884457483374125,1.00285715912959,0.0606646969840103,"Br_myo_H3K9ac"
"53","VAE91",0.710318577835729,0.641376715420151,0.785254160785401,3.72821662177488e-12,"Br_myo_H3K9ac"
"63","VAE93",0.351321228360397,0.283886972725981,0.430698129083719,1.94875253067212e-31,"Br_myo_H3K9ac"
"73","VAE63",0.148023281639374,0.132808637638546,0.164558356652046,0,"Br_myo_H3K9ac"
"83","VAE37",1.38838805521496,1.10047144659378,1.73910381733611,0.00489867794944659,"Br_myo_H3K9ac"
"93","VAE22",1.19243532264448,1.08155714604995,1.3130411412432,0.000385532088300893,"Br_myo_H3K9ac"
"24","VAE24",0.511436544785542,0.453251208934661,0.575321172875175,1.16472148159015e-34,"Br_myo_H3K9me3"
"34","VAE35",0.228060994683562,0.120902709540513,0.392188458282801,1.2994333598181e-11,"Br_myo_H3K9me3"
"44","VAE43",0.428551828212859,0.367127255474182,0.497633517056674,1.51442367749501e-36,"Br_myo_H3K9me3"
"54","VAE91",0.240064984070878,0.175782620452236,0.320446245068692,6.91826410562331e-35,"Br_myo_H3K9me3"
"64","VAE93",0.837746948835815,0.643139851831672,1.07470181872332,0.176738268927876,"Br_myo_H3K9me3"
"74","VAE63",1.93630160104412,1.81077083583299,2.06922655907432,9.3149933443263e-76,"Br_myo_H3K9me3"
"84","VAE37",0.399867847991572,0.190268006335414,0.743218337426285,0.00150913952189936,"Br_myo_H3K9me3"
"94","VAE22",0.557705349491193,0.441921503591358,0.695396008408011,1.80363923915841e-08,"Br_myo_H3K9me3"
"25","VAE24",0.401736445481044,0.377483319970437,0.427253871776909,2.63745193437934e-226,"Br_myo_H3K27me3"
"35","VAE35",0.134705167928848,0.0964305245412763,0.183573331709428,3.22002642583464e-68,"Br_myo_H3K27me3"
"45","VAE43",0.322916614320046,0.298203912488046,0.349219633670944,1.20761419834266e-231,"Br_myo_H3K27me3"
"55","VAE91",0.136310283485636,0.114632604159193,0.161021772435154,2.9393110860828e-225,"Br_myo_H3K27me3"
"65","VAE93",0.954399565159241,0.841271841409819,1.08044274862482,0.475175537884763,"Br_myo_H3K27me3"
"75","VAE63",1.09381352316633,1.0466284542199,1.14293321382272,6.6884943199868e-05,"Br_myo_H3K27me3"
"85","VAE37",0.115095373003585,0.0651713520840048,0.189171090240784,1.92377584966213e-33,"Br_myo_H3K27me3"
"95","VAE22",0.317540316691206,0.277342222393123,0.362271299860767,1.6499954103769e-87,"Br_myo_H3K27me3"
"26","VAE24",1.46785297939321,1.36189350378406,1.58063201798771,1.11141932133801e-22,"Br_myo_H3K36me3"
"36","VAE35",1.57237738483144,1.24812538131373,1.96019587352962,0.000142676041929817,"Br_myo_H3K36me3"
"46","VAE43",1.72112529573457,1.58553751381422,1.86632552798118,1.28881244153518e-35,"Br_myo_H3K36me3"
"56","VAE91",2.47673063177927,2.23174932953376,2.74363336985228,2.36421998306498e-56,"Br_myo_H3K36me3"
"66","VAE93",1.5000615335531,1.23325009610903,1.81094786076811,5.54235112478929e-05,"Br_myo_H3K36me3"
"76","VAE63",0.535366807472916,0.480263885790196,0.595360228334253,3.13337547492638e-36,"Br_myo_H3K36me3"
"86","VAE37",2.14122458407976,1.56897291365326,2.86996449394207,2.32773880960868e-06,"Br_myo_H3K36me3"
"96","VAE22",1.43627249129649,1.24149833492866,1.65491264560064,1.55509449818622e-06,"Br_myo_H3K36me3"
"27","VAE24",0.644960268252058,0.612347520837825,0.679064914555927,1.92101640747482e-67,"HMEC_H3K4me1"
"37","VAE35",1.82900521993904,1.60400115538101,2.08393518259778,3.5962428176304e-19,"HMEC_H3K4me1"
"47","VAE43",0.939696123161955,0.889546059039798,0.992349293441904,0.0249706513217704,"HMEC_H3K4me1"
"57","VAE91",0.585261223492889,0.533733030053267,0.640958528262261,2.2099098666034e-34,"HMEC_H3K4me1"
"67","VAE93",0.309049812255143,0.257376243222141,0.368709153084686,2.63165188434975e-52,"HMEC_H3K4me1"
"77","VAE63",0.0724007005165712,0.0641457171819265,0.081462664738784,0,"HMEC_H3K4me1"
"87","VAE37",1.3066465379562,1.05947595402285,1.60490227998395,0.0102941758099226,"HMEC_H3K4me1"
"97","VAE22",1.52110618233805,1.40044635541618,1.65135159199555,6.84821963711595e-23,"HMEC_H3K4me1"
"28","VAE24",1.09084045276783,1.03258738369328,1.15187397888853,0.00181801473753776,"HMEC_H2A.Z"
"38","VAE35",1.85793331186482,1.60171035235221,2.14941550319481,1.70265846677477e-15,"HMEC_H2A.Z"
"48","VAE43",1.4964099926353,1.41155283789544,1.58563892371921,4.96772378568611e-40,"HMEC_H2A.Z"
"58","VAE91",1.12083176019513,1.02143082103876,1.2281999220649,0.0149814084389069,"HMEC_H2A.Z"
"68","VAE93",0.437237855096094,0.35466766187265,0.534157932188908,9.76059987736376e-20,"HMEC_H2A.Z"
"78","VAE63",0.139225747491758,0.123279608168171,0.156746346112863,0,"HMEC_H2A.Z"
"88","VAE37",3.74341137655852,3.07257451466243,4.55234398060795,1.59317619048162e-36,"HMEC_H2A.Z"
"98","VAE22",3.15714302998,2.90764837479391,3.42676674256539,5.76170204041686e-149,"HMEC_H2A.Z"
"29","VAE24",0.94797676958995,0.905489868911465,0.99221846051896,0.0216023326193862,"HMEC_H3K4me2"
"39","VAE35",2.26435549458389,1.99181012232566,2.57324384514582,1.65399612466698e-35,"HMEC_H3K4me2"
"49","VAE43",1.3373603085863,1.27190677744094,1.40592753567783,1.57072790255796e-29,"HMEC_H3K4me2"
"59","VAE91",1.13756872833854,1.05504850518746,1.22597007857051,0.000764595110414873,"HMEC_H3K4me2"
"69","VAE93",0.415432276821391,0.355185367388706,0.483800421444232,7.32390906192396e-36,"HMEC_H3K4me2"
"79","VAE63",0.0953480469946312,0.0861216750324109,0.105323473657078,0,"HMEC_H3K4me2"
"89","VAE37",2.32208888841785,1.91372979371191,2.81601592659162,9.88652857035382e-18,"HMEC_H3K4me2"
"99","VAE22",1.89986094304138,1.75439538724155,2.05674577734465,4.22175729222647e-55,"HMEC_H3K4me2"
"210","VAE24",0.709441616134564,0.676336517597001,0.743985022018036,6.90204930871486e-48,"HMEC_H3K4me3"
"310","VAE35",1.6256826254612,1.42718674775591,1.85030366662147,2.36182852890043e-13,"HMEC_H3K4me3"
"410","VAE43",1.06812703836179,1.01489604875136,1.12395591570215,0.0111889014727768,"HMEC_H3K4me3"
