"","Node","Est","Conf95low","Conf95high","Pvalue","Mark"
"36","VAE35",0.772892718453904,0.156335135771537,2.33454326034039,1,"S_Shelf"
"46","VAE43",1.6377742362852,0.731430588153129,3.21242474062219,0.18904832318532,"S_Shelf"
"56","VAE91",2.54752740950446,1.44497019188955,4.21970945129006,0.000848479429628074,"S_Shelf"
"66","VAE93",1.60903787218819,0.423747369343499,4.35324429342254,0.324863981665599,"S_Shelf"
"76","VAE22",0.680100673681737,0.270308258804478,1.4246752958508,0.419631747322969,"S_Shelf"
"86","VAE63",0.689597553473869,0.185095435071398,1.80885598622153,0.66657696579533,"S_Shelf"
"27","VAE24",0.379516445929201,0.148632581764317,0.812358683171551,0.00707609765041168,"DHS"
"37","VAE35",1.19201352505179,0.659701610835012,2.03851963277128,0.478469957684739,"DHS"
"47","VAE43",0.657378665103031,0.356721234230851,1.12855974419231,0.156950473207648,"DHS"
"57","VAE91",0.864494174107669,0.536491568703078,1.3378560537943,0.600094630850375,"DHS"
"67","VAE93",0.369053704693676,0.0972054837914871,0.997976883347783,0.0520985442213266,"DHS"
"77","VAE22",2.43931622174894,1.83597199845949,3.21689835526944,1.2316175466179e-09,"DHS"
"87","VAE63",0.0386606686311791,0.00097617460566891,0.219130211210071,2.55473215917147e-09,"DHS"
"28","VAE24",0.41321701918498,0.233848235164469,0.692635200837463,0.000253637539207241,"Br_myo_H3K4me1"
"38","VAE35",3.88466521730635,2.48122460574597,6.19521717063812,2.37992345477734e-10,"Br_myo_H3K4me1"
"48","VAE43",0.745364894292262,0.496171428842516,1.09858553263703,0.144443458395912,"Br_myo_H3K4me1"
"58","VAE91",1.04937145381575,0.751672117765859,1.45220162803092,0.807484370140408,"Br_myo_H3K4me1"
"68","VAE93",0.483491415357666,0.234037367694391,0.922512280738263,0.020899971183079,"Br_myo_H3K4me1"
"78","VAE22",2.09139058334503,1.61250139368182,2.71374215673865,1.20448758151002e-08,"Br_myo_H3K4me1"
"88","VAE63",0.0145087039718414,0.00036991452928734,0.0822653855464676,5.69380412358421e-23,"Br_myo_H3K4me1"
"29","VAE24",0.131141656520701,0.041662103768694,0.316540970843936,3.64484684331859e-09,"Br_myo_H3K4me3"
"39","VAE35",1.82715533148833,1.17362173909326,2.81945268125058,0.00509565565410348,"Br_myo_H3K4me3"
"49","VAE43",0.399502870156562,0.228744702598995,0.659556079431757,0.000101021773266687,"Br_myo_H3K4me3"
"59","VAE91",0.162286447467266,0.0763508849567543,0.306343213237684,4.71575551780355e-13,"Br_myo_H3K4me3"
"69","VAE93",0.134307055782853,0.026914816841612,0.412514905940476,9.68199458743981e-06,"Br_myo_H3K4me3"
"79","VAE22",2.3716972936641,1.82714611425268,3.07614269670621,5.33069986644026e-11,"Br_myo_H3K4me3"
"89","VAE63",0.0190847702186097,0.000484663520616739,0.10818851188524,2.97898646136067e-18,"Br_myo_H3K4me3"
"210","VAE24",0.328084913340399,0.128477637013578,0.702254912658827,0.00131354712368582,"Br_myo_H3K9ac"
"310","VAE35",1.34467823378089,0.784452857287478,2.21482216187714,0.223638960171539,"Br_myo_H3K9ac"
"410","VAE43",0.982984809000561,0.604271358492898,1.53923358936327,1,"Br_myo_H3K9ac"
"510","VAE91",0.606181325020443,0.359836400350625,0.970275976581388,0.0354081297417446,"Br_myo_H3K9ac"
"610","VAE93",0.589343327106062,0.226162134136564,1.29939609724367,0.242004692005504,"Br_myo_H3K9ac"
"710","VAE22",1.83952207668512,1.3724870116046,2.44297833900971,3.77334043532848e-05,"Br_myo_H3K9ac"
"810","VAE63",0.101784147300026,0.0207051270121814,0.303983610131876,1.08981948026085e-08,"Br_myo_H3K9ac"
"211","VAE24",0,0,0.615266429445618,0.0044753160346965,"Br_myo_H3K9me3"
"311","VAE35",0,0,0.697134460381448,0.0101072809279594,"Br_myo_H3K9me3"
"411","VAE43",0.387144837661666,0.0788011442364774,1.15696989042881,0.127069186288597,"Br_myo_H3K9me3"
"511","VAE91",0.100767465264781,0.00254036874782487,0.569494448521795,0.00118027791639173,"Br_myo_H3K9me3"
"611","VAE93",0.283906532856317,0.0070733211804893,1.64407860294314,0.262379451617566,"Br_myo_H3K9me3"
"711","VAE22",0.357865087807681,0.11509663543999,0.847425072171805,0.0157000562789411,"Br_myo_H3K9me3"
"811","VAE63",5.84487321779412,3.85866128330525,8.66722250484068,2.10457258967979e-14,"Br_myo_H3K9me3"
"212","VAE24",0.184972949627158,0.0662497644638444,0.417336665276748,5.54236653403812e-07,"Br_myo_H3K27me3"
"312","VAE35",0,0,0.123618803227792,5.06372922716623e-12,"Br_myo_H3K27me3"
"412","VAE43",0.0686651280359528,0.0139808067198552,0.205097603704553,3.73990852698051e-13,"Br_myo_H3K27me3"
