Dimension,Est,Conf95low,Conf95high,Pvalue,Mark,Sig
VAE24,0.167717268,0.065711676,0.358953499,9.43E-09,HMEC_H3K4me3,TRUE
VAE35,2.130491066,1.382069717,3.277025012,0.000371088,HMEC_H3K4me3,TRUE
VAE43,0.404200902,0.238006337,0.653735105,6.64E-05,HMEC_H3K4me3,TRUE
VAE91,0.345497662,0.210070685,0.543011642,2.24E-07,HMEC_H3K4me3,TRUE
VAE93,0.078784882,0.009317456,0.297518284,1.70E-07,HMEC_H3K4me3,TRUE
VAE22,4.320082202,3.296758227,5.693849287,6.06E-29,HMEC_H3K4me3,TRUE
VAE63,0,0,0.063406499,1.07E-21,HMEC_H3K4me3,TRUE
VAE24,0.090996927,0.010870213,0.337301692,8.97E-07,HMEC_H3K9ac,TRUE
VAE35,0.63023697,0.302586372,1.18873249,0.171855427,HMEC_H3K9ac,FALSE
VAE43,0.331485986,0.148115864,0.649701815,0.000273577,HMEC_H3K9ac,TRUE
VAE91,0.111827492,0.030110063,0.291803991,5.29E-10,HMEC_H3K9ac,TRUE
VAE93,0.07734741,0.001930411,0.44777963,0.000153716,HMEC_H3K9ac,TRUE
VAE22,2.407385423,1.823102931,3.159270737,1.12E-09,HMEC_H3K9ac,TRUE
VAE63,0,0,0.126667784,3.77E-12,HMEC_H3K9ac,TRUE
VAE24,0.53329963,0.208839789,1.141636995,0.127866443,HMEC_H3K9me3,FALSE
VAE35,1.675041446,0.926929618,2.864887755,0.073781103,HMEC_H3K9me3,FALSE
VAE43,0.993608814,0.54993031,1.681855538,1,HMEC_H3K9me3,FALSE
VAE91,0.511258666,0.250061333,0.940173455,0.024305963,HMEC_H3K9me3,TRUE
VAE93,0.250509283,0.029644394,0.946126604,0.044335816,HMEC_H3K9me3,TRUE
VAE22,4.826116007,3.689241842,6.288175085,8.65E-28,HMEC_H3K9me3,TRUE
VAE63,0,0,0.201748826,4.24E-08,HMEC_H3K9me3,TRUE
VAE24,0.475452145,0.096408106,1.430360359,0.291731063,HMEC_H3K27ac,FALSE
VAE35,0.175900454,0.004408262,1.005431056,0.044702139,HMEC_H3K27ac,TRUE
VAE43,0.119444411,0.003005341,0.677297414,0.005117698,HMEC_H3K27ac,TRUE
VAE91,0.190558793,0.022888513,0.699471732,0.004749358,HMEC_H3K27ac,TRUE
VAE93,0.827935176,0.165857336,2.543960116,1,HMEC_H3K27ac,FALSE
VAE22,0.200086712,0.040964753,0.592098978,0.000530681,HMEC_H3K27ac,TRUE
VAE63,7.571461055,5.16076217,10.96087841,5.36E-21,HMEC_H3K27ac,TRUE
VAE24,0.273678308,0.073155189,0.723021914,0.004526341,HMEC_H3K27me3,TRUE
VAE35,3.149414778,1.954740054,4.964620221,2.20E-06,HMEC_H3K27me3,TRUE
VAE43,1.260347331,0.751024897,2.020387981,0.303687123,HMEC_H3K27me3,FALSE
VAE91,0.710849997,0.396248005,1.192232561,0.248306902,HMEC_H3K27me3,FALSE
VAE93,0.231930932,0.02744209,0.875938795,0.020381869,HMEC_H3K27me3,TRUE
VAE22,6.897861059,5.316846706,8.95073495,6.31E-45,HMEC_H3K27me3,TRUE
VAE63,0,0,0.18675228,1.74E-08,HMEC_H3K27me3,TRUE
VAE24,0.28066008,0.10051776,0.633255148,0.000471421,HMEC_H3K36me3,TRUE
VAE35,0.101869862,0.012126987,0.378893208,4.27E-06,HMEC_H3K36me3,TRUE
VAE43,0.034202904,0.00086408,0.193920248,1.25E-10,HMEC_H3K36me3,TRUE
VAE91,0,0,0.100585345,5.06E-15,HMEC_H3K36me3,TRUE
VAE93,0.691943743,0.284061464,1.465131466,0.404673355,HMEC_H3K36me3,FALSE
VAE22,0.156055713,0.066586767,0.312668935,5.69E-12,HMEC_H3K36me3,TRUE
VAE63,0.17364144,0.055460177,0.415631902,8.94E-07,HMEC_H3K36me3,TRUE
VAE24,1.012929339,0.120942418,3.759037772,0.725891826,HMEC_H3K79me2,FALSE
VAE35,1.741307925,0.352110568,5.263696934,0.25487145,HMEC_H3K79me2,FALSE
VAE43,5.504439904,2.844200109,9.791501092,2.18E-06,HMEC_H3K79me2,TRUE
VAE91,3.573640722,1.745604094,6.584285513,0.00046053,HMEC_H3K79me2,TRUE
VAE93,0,0,3.223531152,0.633211808,HMEC_H3K79me2,FALSE
VAE22,0.864591751,0.233420666,2.24642398,1,HMEC_H3K79me2,FALSE
VAE63,0,0,1.41130772,0.119544266,HMEC_H3K79me2,FALSE
VAE24,0.877385329,0.368161729,1.800087997,0.862086773,HMEC_H3K20me1,FALSE
VAE35,1.429808287,0.686369274,2.697496155,0.263447787,HMEC_H3K20me1,FALSE
VAE43,2.392931033,1.48364702,3.723519006,0.000304354,HMEC_H3K20me1,TRUE
VAE91,2.441408119,1.606482355,3.610360997,2.89E-05,HMEC_H3K20me1,TRUE
VAE93,0.35690769,0.04223273,1.348037038,0.171147606,HMEC_H3K20me1,FALSE
VAE22,2.327857861,1.638514046,3.243349073,3.24E-06,HMEC_H3K20me1,TRUE
VAE63,0,0,0.287424413,9.55E-06,HMEC_H3K20me1,TRUE
VAE24,0,0,187.2805811,1,HMEC_SuperEnhancer,FALSE
VAE35,0,0,211.8432667,1,HMEC_SuperEnhancer,FALSE
VAE43,0,0,144.3915486,1,HMEC_SuperEnhancer,FALSE
VAE91,0,0,113.7043763,1,HMEC_SuperEnhancer,FALSE
VAE93,0,0,320.172117,1,HMEC_SuperEnhancer,FALSE
VAE22,0,0,79.39365922,1,HMEC_SuperEnhancer,FALSE
VAE63,0,0,142.2048539,1,HMEC_SuperEnhancer,FALSE
VAE24,0,0,148.8727106,1,MCF7_SuperEnhancer,FALSE
VAE35,0,0,168.5793043,1,MCF7_SuperEnhancer,FALSE
VAE43,0,0,113.979699,1,MCF7_SuperEnhancer,FALSE
VAE91,0,0,90.54966739,1,MCF7_SuperEnhancer,FALSE
VAE93,0,0,255.1998459,1,MCF7_SuperEnhancer,FALSE
VAE22,31.90131944,3.649480017,128.8793771,0.002121977,MCF7_SuperEnhancer,TRUE
VAE63,0,0,112.2471869,1,MCF7_SuperEnhancer,FALSE
